"id","geom","from","end","distance"
1,"0105000020246900000100000001020000000200000078D37173C5572341A8CBE75458EA51413AF3F7E344AC23415B04D9BD0A015241","MCSE","Hastings",25.6350075332062
2,"0105000020246900000100000001020000000200000078D37173C5572341A8CBE75458EA51417FA0E9E95F9F2341D928FA9F1AE65141","MCSE","Battle Creek",10.1420714199546
3,"0105000020246900000100000001020000000200000078D37173C5572341A8CBE75458EA514146F7BF137CAE2341550F25AC14E05141","MCSE","Battle Creek Kellogg",15.2862107453106
4,"0105000020246900000100000001020000000200000078D37173C5572341A8CBE75458EA51415234DBEDBD35244159C638A5BBD95141","MCSE","Ceresco",33.1152650184826
5,"0105000020246900000100000001020000000200000078D37173C5572341A8CBE75458EA5141BD6AE5CB69DD2441AB4FAA552FDA5141","MCSE","Albion",52.5477784426578
6,"0105000020246900000100000001020000000200000078D37173C5572341A8CBE75458EA5141751296A966182441A258087DB3C95141","MCSE","Burlington",41.537181818779
